epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12909.7,0.83983,0.43715,0.90246,0.87359,0.93391,0.95625,0.76934,0.80582,0.44763,0.92433,0.0011882,0.0011882,0.0011882
43,13214.9,0.83614,0.43225,0.90451,0.87325,0.92432,0.95159,0.76794,0.79043,0.46227,0.91743,0.0011684,0.0011684,0.0011684
44,13515.7,0.78592,0.41771,0.89783,0.85861,0.96757,0.96033,0.78501,0.74823,0.43439,0.90534,0.0011486,0.0011486,0.0011486
45,13822.1,0.80365,0.42535,0.89751,0.90952,0.92432,0.95989,0.78517,0.75755,0.44014,0.9028,0.0011288,0.0011288,0.0011288
46,14126.6,0.76479,0.41305,0.88137,0.89434,0.91506,0.95308,0.78309,0.74398,0.45051,0.8982,0.001109,0.001109,0.001109
47,14431.6,0.77578,0.41844,0.88883,0.91736,0.87568,0.94706,0.7866,0.74013,0.47937,0.90456,0.0010892,0.0010892,0.0010892
48,14730.1,0.76935,0.42624,0.88073,0.91488,0.92953,0.9583,0.79418,0.73599,0.43486,0.90324,0.0010694,0.0010694,0.0010694
49,15040.1,0.75786,0.40475,0.87321,0.90061,0.91351,0.95474,0.78033,0.78851,0.4658,0.92072,0.0010496,0.0010496,0.0010496
50,15349,0.77951,0.42335,0.891,0.91123,0.90811,0.95625,0.77449,0.79582,0.48399,0.9243,0.0010298,0.0010298,0.0010298
51,15666.1,0.76237,0.40478,0.8714,0.91203,0.91351,0.94891,0.76254,0.79988,0.55519,0.92978,0.00101,0.00101,0.00101
52,15982.1,0.75046,0.39875,0.89145,0.93239,0.87568,0.95753,0.76921,0.83206,0.52544,0.93051,0.0009902,0.0009902,0.0009902
53,16284.4,0.75355,0.39481,0.89262,0.90092,0.93384,0.95817,0.77604,0.78489,0.45431,0.91796,0.0009704,0.0009704,0.0009704
54,16593.6,0.75358,0.39994,0.87709,0.91726,0.90811,0.95269,0.76835,0.76304,0.45534,0.90637,0.0009506,0.0009506,0.0009506
55,16928.3,0.73978,0.39228,0.87819,0.9235,0.93514,0.95989,0.78421,0.73999,0.43749,0.90077,0.0009308,0.0009308,0.0009308
56,17235.4,0.72946,0.38613,0.87292,0.94425,0.91547,0.96288,0.79745,0.75347,0.42796,0.89814,0.000911,0.000911,0.000911
57,17545.8,0.70412,0.38109,0.87669,0.93336,0.90853,0.96128,0.78774,0.76135,0.42731,0.90185,0.0008912,0.0008912,0.0008912
58,17858.5,0.71853,0.37835,0.87259,0.89316,0.91892,0.95691,0.78828,0.75125,0.44729,0.8968,0.0008714,0.0008714,0.0008714
59,18166.9,0.69412,0.37025,0.86063,0.87844,0.93746,0.95666,0.78212,0.7461,0.43858,0.9006,0.0008516,0.0008516,0.0008516
60,18484.2,0.71097,0.37603,0.8789,0.90468,0.92348,0.95875,0.78949,0.76284,0.4342,0.91004,0.0008318,0.0008318,0.0008318
61,18795,0.69593,0.37349,0.87367,0.9055,0.94595,0.96214,0.78897,0.79181,0.43199,0.91654,0.000812,0.000812,0.000812
62,19114.9,0.70742,0.36456,0.88218,0.95668,0.8973,0.96574,0.8012,0.78092,0.4175,0.91267,0.0007922,0.0007922,0.0007922
63,19424,0.69062,0.36436,0.86467,0.95377,0.89205,0.96468,0.78749,0.81526,0.43846,0.92077,0.0007724,0.0007724,0.0007724
64,19730.8,0.69866,0.38188,0.8855,0.90759,0.92973,0.96336,0.78291,0.79994,0.4243,0.92207,0.0007526,0.0007526,0.0007526
65,20036.1,0.68204,0.368,0.87206,0.87729,0.95135,0.95958,0.76335,0.84988,0.4612,0.94462,0.0007328,0.0007328,0.0007328
66,20347.3,0.73488,0.38698,0.88889,0.93712,0.88621,0.95633,0.77381,0.80234,0.45423,0.92503,0.000713,0.000713,0.000713
67,20660.1,0.69036,0.3628,0.86108,0.91081,0.9027,0.96088,0.7806,0.82592,0.46304,0.93198,0.0006932,0.0006932,0.0006932
68,20971.5,0.67116,0.34607,0.866,0.93602,0.88108,0.96003,0.78557,0.80648,0.46666,0.92119,0.0006734,0.0006734,0.0006734
69,21283.8,0.6728,0.36628,0.84879,0.89466,0.91819,0.95965,0.77149,0.84435,0.48334,0.92948,0.0006536,0.0006536,0.0006536
70,21591.2,0.67727,0.35848,0.85142,0.92345,0.92432,0.9619,0.78379,0.78757,0.42697,0.9173,0.0006338,0.0006338,0.0006338
71,21901.3,0.6613,0.34215,0.8595,0.91553,0.94054,0.95882,0.77524,0.82015,0.43157,0.9227,0.000614,0.000614,0.000614
72,22211.8,0.65557,0.34614,0.84807,0.91018,0.93121,0.9633,0.78226,0.79359,0.41099,0.9142,0.0005942,0.0005942,0.0005942
73,22525.4,0.61626,0.33101,0.84801,0.9009,0.93514,0.96225,0.79183,0.7759,0.39805,0.91049,0.0005744,0.0005744,0.0005744
74,22825.8,0.61662,0.33009,0.85703,0.91075,0.92432,0.96274,0.78822,0.78917,0.39939,0.91274,0.0005546,0.0005546,0.0005546
75,23134.1,0.59185,0.31998,0.85931,0.95433,0.90367,0.96466,0.79171,0.77543,0.38802,0.91584,0.0005348,0.0005348,0.0005348
76,23453.2,0.59376,0.32262,0.85167,0.91465,0.92684,0.95661,0.781,0.7845,0.40745,0.92046,0.000515,0.000515,0.000515
77,23763.9,0.61461,0.31883,0.85181,0.91024,0.92973,0.95212,0.78104,0.77418,0.42228,0.92094,0.0004952,0.0004952,0.0004952
78,24079.3,0.64984,0.34345,0.86247,0.90136,0.93854,0.95453,0.78855,0.76068,0.4247,0.91603,0.0004754,0.0004754,0.0004754
79,24392.6,0.61467,0.32152,0.85197,0.90092,0.93387,0.95459,0.78343,0.78138,0.43993,0.92378,0.0004556,0.0004556,0.0004556
80,24699,0.61426,0.31737,0.84843,0.92745,0.8973,0.95758,0.79994,0.74366,0.41887,0.91219,0.0004358,0.0004358,0.0004358
81,25005.6,0.60343,0.31738,0.84994,0.92356,0.91431,0.9595,0.80177,0.73172,0.40754,0.90736,0.000416,0.000416,0.000416
82,25311.9,0.60261,0.31897,0.85159,0.92337,0.91186,0.95725,0.78735,0.7839,0.43199,0.92087,0.0003962,0.0003962,0.0003962
83,25629.9,0.59628,0.31281,0.84737,0.92042,0.9027,0.95539,0.79169,0.76135,0.43139,0.91074,0.0003764,0.0003764,0.0003764
84,25945.4,0.59992,0.31465,0.83471,0.92492,0.8973,0.95707,0.78541,0.78657,0.43029,0.91583,0.0003566,0.0003566,0.0003566
85,26266.5,0.55481,0.30041,0.83626,0.92808,0.90676,0.96047,0.78811,0.80409,0.42651,0.92221,0.0003368,0.0003368,0.0003368
86,26576.9,0.59266,0.30709,0.83554,0.90323,0.92973,0.96159,0.79212,0.77924,0.41394,0.91691,0.000317,0.000317,0.000317
87,26884.2,0.57576,0.30373,0.83121,0.89689,0.93514,0.96496,0.79599,0.77579,0.40761,0.91532,0.0002972,0.0002972,0.0002972
88,27191.6,0.55717,0.29124,0.83203,0.89272,0.93514,0.96469,0.79781,0.76502,0.40599,0.9127,0.0002774,0.0002774,0.0002774
89,27509.7,0.57366,0.29739,0.84224,0.90343,0.92973,0.96528,0.7994,0.75927,0.39661,0.91053,0.0002576,0.0002576,0.0002576
90,27835.2,0.57153,0.30213,0.83308,0.9335,0.9027,0.96801,0.80147,0.7622,0.39019,0.91113,0.0002378,0.0002378,0.0002378
91,28150.7,0.51472,0.29118,0.82299,0.91698,0.91892,0.96782,0.79318,0.78454,0.39537,0.91608,0.000218,0.000218,0.000218
92,28467.5,0.52689,0.28432,0.82778,0.92943,0.92544,0.96683,0.79581,0.78295,0.39185,0.91594,0.0001982,0.0001982,0.0001982
93,28765.9,0.51137,0.28053,0.82512,0.92489,0.9319,0.96311,0.80177,0.76302,0.38346,0.91093,0.0001784,0.0001784,0.0001784
94,29079.7,0.50684,0.27956,0.82721,0.93197,0.91351,0.96309,0.79865,0.75444,0.38418,0.90913,0.0001586,0.0001586,0.0001586
95,29386.3,0.51137,0.27725,0.82594,0.91868,0.92973,0.96271,0.79409,0.75766,0.39412,0.90993,0.0001388,0.0001388,0.0001388
96,29702.4,0.51771,0.27658,0.82135,0.92016,0.93442,0.96349,0.79256,0.74737,0.39202,0.9088,0.000119,0.000119,0.000119
97,30008.9,0.48494,0.27152,0.8159,0.91504,0.92973,0.96293,0.79291,0.74655,0.38841,0.90872,9.92e-05,9.92e-05,9.92e-05
98,30312,0.48479,0.26479,0.81904,0.91904,0.92432,0.96296,0.79865,0.74698,0.38911,0.90757,7.94e-05,7.94e-05,7.94e-05
99,30628.6,0.48352,0.26691,0.81152,0.89718,0.94337,0.96097,0.79599,0.75235,0.38946,0.90938,5.96e-05,5.96e-05,5.96e-05
100,30966.4,0.46515,0.25746,0.81003,0.91416,0.92102,0.96095,0.79289,0.75509,0.38933,0.91097,3.98e-05,3.98e-05,3.98e-05
